Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
701896,FERNCROFT AVENUE,Frognal and Fitzjohns,NW3 7PG,O/S 41,35/18,42,Generic LED Lighting,Lighting Column,500,No,525516,185918,-0.190791,51.558191,POINT (-0.190791 51.558191),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:58 AM
707039,WILLIAM ROAD,Regent's Park,NW1 3EP,OPP 11-15,35/18,29,Generic LED Lighting,Lighting Column,800,No,529166,182562,-0.1394,51.527208,POINT (-0.1394 51.527208),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:06 AM
703513,BELSIZE PARK,Frognal and Fitzjohns,NW3 4EH,OPP NO 39,35/18,6,Light Emitting Diodes (LEDs),Lighting Column,400,No,526797,184695,-0.172763,51.546914,POINT (-0.172763 51.546914),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:01 AM
703740,FELLOWS ROAD,Belsize,NW3 3LL,OPP NO 27,35/18,46,Generic LED Lighting,Lighting Column,600,No,527522,184464,-0.162397,51.544675,POINT (-0.162397 51.544675),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:01 AM
70856,BOUNDARY ROAD,Kilburn,NW8 0HU,OPP. AINSWORTH ESTATE,35/18,42,Generic LED Lighting,Lighting Column,800,No,526153,183780,-0.182374,51.538835,POINT (-0.182374 51.538835),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:56 AM
7011650,CREDITON HILL,West Hampstead,NW6 1HS,S/O NO. 39,35/18,39,Generic LED Lighting,Lighting Column,600,No,525631,185197,-0.189391,51.551686,POINT (-0.189391 51.551686),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:12 AM
704753,RODERICK ROAD,Gospel Oak,NW3 2NN,OUTSIDE 3,35/18,21,Generic LED Lighting,Lighting Column,600,No,527822,185474,-0.157706,51.553684,POINT (-0.157706 51.553684),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:02 AM
7010086,MONTAGUE STREET,Holborn and Covent Garden,WC1B 3DG,OPP. NO. 29,35/18,60,Cosmopolis,Lighting Column,500,No,530194,181704,-0.124906,51.519262,POINT (-0.124906 51.519262),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:10 AM
709009,BRUNSWICK SQUARE,King's Cross,WC1N 1DN,OPP. SHOPPING CENTRE,35/18,90,Cosmopolis,Lighting Column,800,No,530353,182257,-0.122411,51.524195,POINT (-0.122411 51.524195),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:08 AM
7011020,THEOBALD'S ROAD,Holborn and Covent Garden,WC1N 3NR,OPP 21,35/18,90,Cosmopolis,Lighting Column,800,No,530702,181855,-0.117532,51.520501,POINT (-0.117532 51.520501),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:11 AM
709508,TAVISTOCK PLACE,Bloomsbury,WC1N 1AB,BY 74,35/18,104,LED Street Lights,Lighting Column,1000,No,530149,182418,-0.12529,51.525689,POINT (-0.12529 51.525689),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:09 AM
706401,ALBANY STREET,Regent's Park,NW1 4DH,BY ROTHAY,35/18,152,Generic LED Lighting,Lighting Column,1000,No,528823,182808,-0.144251,51.529497,POINT (-0.144251 51.529497),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:34:05 AM
570937,PANCRAS ROAD,St Pancras and Somers Town,N1C 4AL,pancras road tunnel,35/18,,,Wall Light,,,529905,183295,-0.128482,51.533626,POINT (-0.128482 51.533626),Plotted By Council Officer,http://opendatacommunities.org/id/london-borough-council/camden,10/02/2022 08:33:57 AM
